pcbasn,voldc,volpoe,login,bspver,irver,sensever,ir,rs485,sense,rs232,relay,audio,usb2.0,usb3.0,wifipower,iperfeth,ethmac,wifimac,SNID,LED,HDMI,reset,power
30398X989210900604,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05264,P,P,-16.01,148.0,F8-57-2E-06-10-FB,CC-4B-73-F4-E3-D8,EL01491A-89210900604,P,P,P,P
30398X989210900346,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.06039,P,P,-15.81,142.0,F8-57-2E-06-10-FC,CC-4B-73-F4-93-CA,EL01491A-89210900346,P,P,P,P
30398X989210900016,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05326,P,P,-18.21,155.0,F8-57-2E-06-10-FD,CC-4B-73-F4-C3-F4,EL01491A-89210900016,P,P,P,P
30398X989210900662,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0637,P,P,-15.02,159.0,F8-57-2E-06-10-FE,CC-4B-73-F4-84-CE,EL01491A-89210900662,P,P,P,P
30398X989210900688,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06172,P,P,-15.71,155.0,F8-57-2E-06-10-FF,CC-4B-73-F4-D4-1A,EL01491A-89210900688,P,P,P,P
30398X989210900670,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05606,P,P,-16.29,151.0,F8-57-2E-06-11-00,CC-4B-73-F4-B4-38,EL01491A-89210900670,P,P,P,P
30398X989210900696,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05626,P,P,-15.92,146.0,F8-57-2E-06-11-01,CC-4B-73-F4-84-D2,EL01491A-89210900696,P,P,P,P
30398X989210900555,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05744,P,P,-15.44,154.0,F8-57-2E-06-11-02,CC-4B-73-F3-CD-0A,EL01491A-89210900555,P,P,P,P
30398X989210900587,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06446,P,P,-15.99,155.0,F8-57-2E-06-11-03,CC-4B-73-F3-CD-66,EL01491A-89210900587,P,P,P,P
30398X989210900547,P,P,P,2021,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0524,P,P,-16.7,156.0,F8-57-2E-06-11-04,CC-4B-73-F3-CD-02,EL01491A-89210900547,P,P,P,P
30398X989210900553,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05581,P,P,-14.73,155.0,F8-57-2E-06-11-05,CC-4B-73-F4-B4-22,EL01491A-89210900553,P,P,P,P
30398X989210900658,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05408,P,P,-15.93,144.0,F8-57-2E-06-11-06,CC-4B-73-F4-E3-BA,EL01491A-89210900658,P,P,P,P
30398X989210900676,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05789,P,P,-16.97,158.0,F8-57-2E-06-11-07,CC-4B-73-F4-B3-FC,EL01491A-89210900676,P,P,P,P
30398X989210900538,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.06628,P,P,-15.16,159.0,F8-57-2E-06-11-08,CC-4B-73-F3-CD-2A,EL01491A-89210900538,P,P,P,P
30398X989210900602,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05653,P,P,-16.83,156.0,F8-57-2E-06-11-09,CC-4B-73-F4-E4-1C,EL01491A-89210900602,P,P,P,P
30398X989210900470,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05413,P,P,-17.6,153.0,F8-57-2E-06-11-0A,CC-4B-73-F4-C3-B2,EL01491A-89210900470,P,P,P,P
30398X989210900586,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05758,P,P,-15.94,151.0,F8-57-2E-06-11-0B,CC-4B-73-F4-E3-F6,EL01491A-89210900586,P,P,P,P
30398X989210900584,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.054,P,P,-15.39,169.0,F8-57-2E-06-11-0C,CC-4B-73-F4-E4-26,EL01491A-89210900584,P,P,P,P
30398X989210900387,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05747,P,P,-15.9,155.0,F8-57-2E-06-11-0D,CC-4B-73-F4-A3-28,EL01491A-89210900387,P,P,P,P
30398X989210900693,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05707,P,P,-15.62,162.0,F8-57-2E-06-11-0E,CC-4B-73-F4-D4-2C,EL01491A-89210900693,P,P,P,P
30398X989210900595,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05638,P,P,-16.45,154.0,F8-57-2E-06-11-0F,CC-4B-73-F4-E4-0C,EL01491A-89210900595,P,P,P,P
30398X989210900657,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.04554,P,P,-16.06,154.0,F8-57-2E-06-11-10,CC-4B-73-F4-84-C2,EL01491A-89210900657,P,P,P,P
30398X989210900583,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05266,P,P,-16.27,170.0,F8-57-2E-06-11-11,CC-4B-73-F4-E4-02,EL01491A-89210900583,P,P,P,P
30398X989210900580,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.06363,P,P,-16.57,152.0,F8-57-2E-06-11-12,CC-4B-73-F4-E3-E0,EL01491A-89210900580,P,P,P,P
30398X989210900579,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05721,P,P,-17.12,171.0,F8-57-2E-06-11-13,CC-4B-73-F4-E3-C6,EL01491A-89210900579,P,P,P,P
30398X989210900372,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05819,P,P,-16.0,171.0,F8-57-2E-06-11-14,CC-4B-73-F4-A3-A4,EL01491A-89210900372,P,P,P,P
30398X989210900177,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05909,P,P,-16.22,123.0,F8-57-2E-06-11-15,CC-4B-73-F4-93-7A,EL01491A-89210900177,P,P,P,P
30398X989210900261,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05715,P,P,-17.93,166.0,F8-57-2E-06-11-16,CC-4B-73-F4-B3-42,EL01491A-89210900261,P,P,P,P
30398X989210900245,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05611,P,P,-15.38,166.0,F8-57-2E-06-11-17,CC-4B-73-F4-A4-04,EL01491A-89210900245,P,P,P,P
30398X989210900264,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0559,P,P,-16.56,153.0,F8-57-2E-06-11-18,CC-4B-73-F4-C4-52,EL01491A-89210900264,P,P,P,P
30398X989210900438,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06315,P,P,-16.42,142.0,F8-57-2E-06-11-19,CC-4B-73-F4-E3-C0,EL01491A-89210900438,P,P,P,P
30398X989210900191,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05568,P,P,-17.41,149.0,F8-57-2E-06-11-1A,CC-4B-73-F4-C4-20,EL01491A-89210900191,P,P,P,P
30398X989210900036,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05823,P,P,-16.16,170.0,F8-57-2E-06-11-1B,CC-4B-73-F4-A3-B6,EL01491A-89210900036,P,P,P,P
30398X989210900656,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05469,P,P,-17.04,153.0,F8-57-2E-06-11-1C,CC-4B-73-F4-C3-60,EL01491A-89210900656,P,P,P,P
30398X989210900497,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05065,P,P,-16.42,141.0,F8-57-2E-06-11-1D,CC-4B-73-F3-CD-84,EL01491A-89210900497,P,P,P,P
30398X989210900647,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05968,P,P,-16.99,148.0,F8-57-2E-06-11-1E,CC-4B-73-F4-E3-CA,EL01491A-89210900647,P,P,P,P
30398X989210900464,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.05568,P,P,-15.47,162.0,F8-57-2E-06-11-1F,CC-4B-73-F4-84-BE,EL01491A-89210900464,P,P,P,P
30398X989210900455,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05542,P,P,-16.44,154.0,F8-57-2E-06-11-20,CC-4B-73-F4-E3-E6,EL01491A-89210900455,P,P,P,P
30398X989210900581,P,P,P,20210217.150252,03-00-00-03,False,P,P,P,P,P,0.05692,P,P,-19.9,153.0,F8-57-2E-06-11-21,CC-4B-73-F3-CD-74,EL01491A-89210900581,P,P,P,P
30398X989210900653,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0573,P,P,-16.06,167.0,F8-57-2E-06-11-22,CC-4B-73-F4-B4-02,EL01491A-89210900653,P,P,P,P
30398X989210900451,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06088,P,P,-16.15,151.0,F8-57-2E-06-11-23,CC-4B-73-F4-B4-1C,EL01491A-89210900451,P,P,P,P
30398X989210900450,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05551,P,P,-15.74,165.0,F8-57-2E-06-11-24,CC-4B-73-F4-D4-66,EL01491A-89210900450,P,P,P,P
30398X989210900460,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05561,P,P,-15.77,169.0,F8-57-2E-06-11-25,CC-4B-73-F4-C3-62,EL01491A-89210900460,P,P,P,P
30398X989210900435,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06181,P,P,-16.46,157.0,F8-57-2E-06-11-26,CC-4B-73-F4-B3-52,EL01491A-89210900435,P,P,P,P
30398X989210900673,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05724,P,P,-16.02,145.0,F8-57-2E-06-11-27,CC-4B-73-F4-B3-D4,EL01491A-89210900673,P,P,P,P
30398X989210900440,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05273,P,P,-16.72,155.0,F8-57-2E-06-11-28,CC-4B-73-F4-D4-36,EL01491A-89210900440,P,P,P,P
30398X989210900471,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05217,P,P,-15.75,154.0,F8-57-2E-06-11-29,CC-4B-73-F4-C3-BC,EL01491A-89210900471,P,P,P,P
30398X989210900582,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06027,P,P,-16.18,162.0,F8-57-2E-06-11-2A,CC-4B-73-F4-E3-E2,EL01491A-89210900582,P,P,P,P
30398X989210900371,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05949,P,P,-15.49,166.0,F8-57-2E-06-11-2B,CC-4B-73-F4-A3-AE,EL01491A-89210900371,P,P,P,P
30398X989210900702,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06139,P,P,-16.85,156.0,F8-57-2E-06-11-2C,CC-4B-73-F4-D4-08,EL01491A-89210900702,P,P,P,P
30398X989210900666,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05641,P,P,-15.51,167.0,F8-57-2E-06-11-2D,CC-4B-73-F4-D4-5E,EL01491A-89210900666,P,P,P,P
30398X989210900550,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.04925,P,P,-17.27,144.0,F8-57-2E-06-11-2E,CC-4B-73-F4-A3-46,EL01491A-89210900550,P,P,P,P
30398X989210900654,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05783,P,P,-17.56,156.0,F8-57-2E-06-11-2F,CC-4B-73-F4-B4-34,EL01491A-89210900654,P,P,P,P
30398X989210900408,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06279,P,P,-17.3,142.0,F8-57-2E-06-11-30,CC-4B-73-F4-C3-8C,EL01491A-89210900408,P,P,P,P
30398X989210900689,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05982,P,P,-16.21,156.0,F8-57-2E-06-11-31,CC-4B-73-F4-D4-20,EL01491A-89210900689,P,P,P,P
30398X989210900560,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05147,P,P,-15.54,154.0,F8-57-2E-06-10-5F,CC-4B-73-F3-CD-9A,EL01491A-89210900560,P,P,P,P
30398X989210900065,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05375,P,P,-14.94,169.0,F8-57-2E-06-11-32,CC-4B-73-F4-93-5C,EL01491A-89210900065,P,P,P,P
30398X989210900184,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05127,P,P,-16.78,154.0,F8-57-2E-06-11-33,CC-4B-73-F4-A3-72,EL01491A-89210900184,P,P,P,P
30398X989210900079,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05624,P,P,-15.99,166.0,F8-57-2E-06-11-34,CC-4B-73-F4-C3-EA,EL01491A-89210900079,P,P,P,P
30398X989210900196,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.05714,P,P,-17.0,167.0,F8-57-2E-06-11-35,CC-4B-73-F4-93-D8,EL01491A-89210900196,P,P,P,P
30398X989210900352,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0537,P,P,-15.39,166.0,F8-57-2E-06-11-36,CC-4B-73-F4-A3-96,EL01491A-89210900352,P,P,P,P
30398X989210900055,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05884,P,P,-15.46,153.0,F8-57-2E-06-11-37,CC-4B-73-F4-93-74,EL01491A-89210900055,P,P,P,P
30398X989210900677,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.05933,P,P,-16.71,155.0,F8-57-2E-06-11-38,CC-4B-73-F4-B3-F6,EL01491A-89210900677,P,P,P,P
30398X989210900233,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.05499,P,P,-14.86,153.0,F8-57-2E-06-11-39,CC-4B-73-F4-B3-C8,EL01491A-89210900233,P,P,P,P
30398X989210900229,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06321,P,P,-16.0,150.0,F8-57-2E-06-11-3A,CC-4B-73-F4-93-6C,EL01491A-89210900229,P,P,P,P
30398X989210900127,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06089,P,P,-15.68,149.0,F8-57-2E-06-11-3B,CC-4B-73-F4-93-B2,EL01491A-89210900127,P,P,P,P
30398X989210900370,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.0548,P,P,-15.78,148.0,F8-57-2E-06-11-3C,CC-4B-73-F4-A3-AA,EL01491A-89210900370,P,P,P,P
30398X989210900069,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05535,P,P,-15.12,132.0,F8-57-2E-06-11-3D,CC-4B-73-F4-93-58,EL01491A-89210900069,P,P,P,P
30398X989210900064,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.05848,P,P,-17.13,156.0,F8-57-2E-06-11-3F,CC-4B-73-F4-C4-50,EL01491A-89210900064,P,P,P,P
30398X989210900539,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05263,P,P,-15.16,169.0,F8-57-2E-06-11-40,CC-4B-73-F4-A3-4A,EL01491A-89210900539,P,P,P,P
30398X989210900484,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0624,P,P,-17.08,153.0,F8-57-2E-06-11-41,CC-4B-73-F4-B4-0E,EL01491A-89210900484,P,P,P,P
30398X989210900393,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05868,P,P,-17.07,148.0,F8-57-2E-06-11-3E,CC-4B-73-F4-C3-5E,EL01491A-89210900393,P,P,P,P
30398X989210900554,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05161,P,P,-16.7,153.0,F8-57-2E-06-11-42,CC-4B-73-F4-A3-66,EL01491A-89210900554,P,P,P,P
30398X989210900117,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06211,P,P,-17.12,154.0,F8-57-2E-06-11-43,CC-4B-73-F4-93-72,EL01491A-89210900117,P,P,P,P
30398X989210900572,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05548,P,P,-17.14,141.0,F8-57-2E-06-11-44,CC-4B-73-F4-D4-48,EL01491A-89210900572,P,P,P,P
30398X989210900703,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05633,P,P,-17.18,150.0,F8-57-2E-06-11-45,CC-4B-73-F4-D4-32,EL01491A-89210900703,P,P,P,P
30398X989210900684,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05976,P,P,-16.58,144.0,F8-57-2E-06-11-46,CC-4B-73-F4-D3-EC,EL01491A-89210900684,P,P,P,P
30398X989210900566,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05927,P,P,-16.02,148.0,F8-57-2E-06-11-47,CC-4B-73-F4-B4-32,EL01491A-89210900566,P,P,P,P
30398X989210900574,P,P,P,20210217.150252,03-00-00-03,"ngth=-1,buf",P,P,P,P,P,0.05365,P,P,-17.16,139.0,F8-57-2E-06-11-48,CC-4B-73-F4-A3-C0,EL01491A-89210900574,P,P,P,P
30398X989210900578,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.05358,P,P,-17.18,150.0,F8-57-2E-06-11-49,CC-4B-73-F4-E3-D0,EL01491A-89210900578,P,P,P,P
30398X989210900690,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0523,P,P,-17.19,170.0,F8-57-2E-06-11-4A,CC-4B-73-F4-D4-18,EL01491A-89210900690,P,P,P,P
30398X989210900485,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05655,P,P,-18.03,156.0,F8-57-2E-06-11-4B,CC-4B-73-F4-B3-F8,EL01491A-89210900485,P,P,P,P
30398X989210900568,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05421,P,P,-16.09,170.0,F8-57-2E-06-11-4D,CC-4B-73-F4-E4-08,EL01491A-89210900568,P,P,P,P
30398X989210900588,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.22389,P,P,-16.24,156.0,F8-57-2E-06-11-4E,CC-4B-73-F3-CD-6C,EL01491A-89210900588,P,P,P,P
30398X989210900529,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06118,P,P,-16.77,158.0,F8-57-2E-06-11-4F,CC-4B-73-F3-CD-68,EL01491A-89210900529,P,P,P,P
30398X989210900570,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.0561,P,P,-16.35,157.0,F8-57-2E-06-11-50,CC-4B-73-F4-E3-AE,EL01491A-89210900570,P,P,P,P
30398X989210900559,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05838,P,P,-16.44,165.0,F8-57-2E-06-11-51,CC-4B-73-F4-A3-54,EL01491A-89210900559,P,P,P,P
30398X989210900468,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05726,P,P,-15.97,156.0,F8-57-2E-06-11-52,CC-4B-73-F4-B4-28,EL01491A-89210900468,P,P,P,P
30398X989210900527,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05973,P,P,-17.62,154.0,F8-57-2E-06-11-53,CC-4B-73-F3-CD-46,EL01491A-89210900527,P,P,P,P
30398X989210900489,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05867,P,P,-16.13,158.0,F8-57-2E-06-11-54,CC-4B-73-F3-CD-A4,EL01491A-89210900489,P,P,P,P
30398X989210900705,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06584,P,P,-16.91,156.0,F8-57-2E-06-11-55,CC-4B-73-F4-E4-18,EL01491A-89210900705,P,P,P,P
30398X989210900452,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.061,P,P,-16.0,171.0,F8-57-2E-06-11-56,CC-4B-73-F4-A3-CE,EL01491A-89210900452,P,P,P,P
30398X989210900700,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05653,P,P,-17.16,156.0,F8-57-2E-06-11-57,CC-4B-73-F3-CD-1A,EL01491A-89210900700,P,P,P,P
30398X989210900558,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.0583,P,P,-16.21,155.0,F8-57-2E-06-11-58,CC-4B-73-F4-A3-52,EL01491A-89210900558,P,P,P,P
30398X989210900663,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05553,P,P,-17.35,170.0,F8-57-2E-06-11-59,CC-4B-73-F4-E3-B0,EL01491A-89210900663,P,P,P,P
30398X989210900668,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06099,P,P,-16.1,152.0,F8-57-2E-06-11-5A,CC-4B-73-F4-84-B6,EL01491A-89210900668,P,P,P,P
30398X989210900682,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05722,P,P,-16.38,152.0,F8-57-2E-06-11-5B,CC-4B-73-F4-D4-26,EL01491A-89210900682,P,P,P,P
30398X989210900549,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05423,P,P,-17.31,159.0,F8-57-2E-06-11-5C,CC-4B-73-F3-B1-FA,EL01491A-89210900549,P,P,P,P
30398X989210900701,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05333,P,P,-16.85,169.0,F8-57-2E-06-11-5D,CC-4B-73-F4-D4-12,EL01491A-89210900701,P,P,P,P
30398X989210900671,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06211,P,P,-18.61,160.0,F8-57-2E-06-11-5E,CC-4B-73-F4-B4-08,EL01491A-89210900671,P,P,P,P
30398X989210900482,P,P,P,20210217.150252,03-00-00-03,00-00-0f-00,P,P,P,P,P,0.05994,P,P,-16.88,164.0,F8-57-2E-06-11-5F,CC-4B-73-F4-C3-6A,EL01491A-89210900482,P,P,P,P
30398X989210900562,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05738,P,P,-17.58,156.0,F8-57-2E-06-11-60,CC-4B-73-F3-CD-06,EL01491A-89210900562,P,P,P,P
30398X989210900432,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0613,P,P,-15.93,155.0,F8-57-2E-06-11-61,CC-4B-73-F3-CD-4E,EL01491A-89210900432,P,P,P,P
30398X989210900590,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05962,P,P,-17.4,149.0,F8-57-2E-06-11-4C,CC-4B-73-F4-B3-D8,EL01491A-89210900590,P,P,P,P
30398X989210900569,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05267,P,P,-17.89,164.0,F8-57-2E-06-11-62,CC-4B-73-F4-E3-EE,EL01491A-89210900569,P,P,P,P
30398X989210900445,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05401,P,P,-15.98,153.0,F8-57-2E-06-11-63,CC-4B-73-F4-A3-EE,EL01491A-89210900445,P,P,P,P
30398X989210900664,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06201,P,P,-17.01,171.0,F8-57-2E-06-11-64,CC-4B-73-F3-CC-FE,EL01491A-89210900664,P,P,P,P
30398X989210900403,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06005,P,P,-16.89,158.0,F8-57-2E-06-11-65,CC-4B-73-F4-C3-AA,EL01491A-89210900403,P,P,P,P
30398X989210900698,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05999,P,P,-17.07,158.0,F8-57-2E-06-11-66,CC-4B-73-F4-D4-3A,EL01491A-89210900698,P,P,P,P
30398X989210900474,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0645,P,P,-15.96,156.0,F8-57-2E-06-11-67,CC-4B-73-F4-C3-B6,EL01491A-89210900474,P,P,P,P
30398X989210900535,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05693,P,P,-17.11,155.0,F8-57-2E-06-11-68,CC-4B-73-F3-CD-82,EL01491A-89210900535,P,P,P,P
30398X989210900556,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05985,P,P,-17.3,152.0,F8-57-2E-06-11-69,CC-4B-73-F4-A3-56,EL01491A-89210900556,P,P,P,P
30398X989210900545,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05681,P,P,-16.83,156.0,F8-57-2E-06-11-6A,CC-4B-73-F4-A3-4E,EL01491A-89210900545,P,P,P,P
30398X989210900534,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05772,P,P,-16.58,170.0,F8-57-2E-06-11-6B,CC-4B-73-F3-CD-90,EL01491A-89210900534,P,P,P,P
30398X989210900592,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06617,P,P,-16.03,151.0,F8-57-2E-06-11-6C,CC-4B-73-F4-B3-EC,EL01491A-89210900592,P,P,P,P
30398X989210900704,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05366,P,P,-16.49,149.0,F8-57-2E-06-11-6D,CC-4B-73-F4-E4-00,EL01491A-89210900704,P,P,P,P
30398X989210900600,P,P,P,20210217.150252,03-00-00-03,False,P,P,P,P,P,0.05604,P,P,-15.42,149.0,F8-57-2E-06-11-6E,CC-4B-73-F4-B4-06,EL01491A-89210900600,P,P,P,P
30398X989210900050,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05184,P,P,-17.81,153.0,F8-57-2E-06-11-6F,CC-4B-73-F4-84-BC,EL01491A-89210900050,P,P,P,P
30398X989210900211,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.05526,P,P,-16.32,155.0,F8-57-2E-06-11-70,CC-4B-73-F4-A3-D6,EL01491A-89210900211,P,P,P,P
30398X989210900053,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.10798,P,P,-16.72,168.0,F8-57-2E-06-11-71,CC-4B-73-F4-93-3C,EL01491A-89210900053,P,P,P,P
30398X989210900190,P,P,P,20210217.150252,03-00-00-03,False,P,P,P,P,P,0.05764,P,P,-17.19,154.0,F8-57-2E-06-11-72,CC-4B-73-F3-CD-24,EL01491A-89210900190,P,P,P,P
